slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status
23522,MIZ/AZL/2024/662,Mizoram,Aizawl,,,23.85194444,92.83305556,Earth,Slide,25 September 2024,1,2024-09-25,True,46.1,461.0,ok
23523,MIZ/AZL/2024/663,Mizoram,Aizawl,,,23.86222222,92.83666667,Debris,Slide,2 July 2024,1,2024-07-02,True,15.7,157.0,ok
23525,MIZ/AZL/2024/665,Mizoram,Aizawl,,,23.87777778,92.84083333,Debris,Slide,25 September 2024,1,2024-09-25,True,46.1,461.0,ok
23526,MIZ/AZL/2024/666,Mizoram,Aizawl,,,23.88583333,92.85055556,Rock,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23527,MIZ/AZL/2024/667,Mizoram,Aizawl,,,23.89277778,92.85083333,Debris,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23528,MIZ/AZL/2024/668,Mizoram,Aizawl,,,23.89138889,92.84888889,Debris,Slide,2 July 2024,1,2024-07-02,True,15.7,157.0,ok
23529,MIZ/AZL/2024/669,Mizoram,Aizawl,,,23.89305556,92.84722222,Earth,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23530,MIZ/AZL/2024/670,Mizoram,Aizawl,,,23.88361111,92.85305556,Earth,Slide,17 August 2024,1,2024-08-17,True,30.5,305.0,ok
23531,MIZ/AZL/2024/671,Mizoram,Aizawl,,,23.88527778,92.8575,Earth,Slide,25 September 2024,1,2024-09-25,True,46.1,461.0,ok
23532,MIZ/AZL/2024/672,Mizoram,Aizawl,,,23.76972222,92.76,Earth,Slide,2 July 2024,1,2024-07-02,True,33.9,339.0,ok
23533,MIZ/AZL/2024/705,Mizoram,Aizawl,,,24.03503889,93.54139444,Debris,Slide,28 September 2024,1,2024-09-28,True,0.3,3.0,ok
23534,MIZ/AZL/2024/706,Mizoram,Aizawl,,,24.05808333,93.49808333,Earth,Slide,7 October 2024,1,2024-10-07,True,9.6,96.0,ok
23535,MIZ/AZL/2024/707,Mizoram,Aizawl,,,24.04531667,93.49220278,Debris,Slide,7 October 2024,1,2024-10-07,True,9.6,96.0,ok
23536,MIZ/AZL/2024/708,Mizoram,Aizawl,,,24.090025,93.54191667,Debris,Slide,7 October 2024,1,2024-10-07,True,25.3,253.0,ok
23537,MIZ/AZL/2024/709,Mizoram,Aizawl,,,24.10864167,93.54198333,Debris,Slide,28 September 2024,1,2024-09-28,True,1.0,10.0,ok
23538,MIZ/AZL/2024/710,Mizoram,Aizawl,,,24.12682222,93.54013889,Debris,Slide,28 September 2024,1,2024-09-28,True,1.0,10.0,ok
23539,MIZ/AZL/2024/711,Mizoram,Aizawl,,,24.12715278,93.53351389,Earth,Slide,7 October 2024,1,2024-10-07,True,23.8,238.0,ok
23540,MIZ/AZL/2024/712,Mizoram,Aizawl,,,24.17180556,93.54406667,Debris,Slide,2 July 2024,1,2024-07-02,True,26.1,261.0,ok
23541,MIZ/AZL/2024/713,Mizoram,Aizawl,,,24.18291667,93.53441944,Debris,Slide,2 July 2024,1,2024-07-02,True,26.1,261.0,ok
23542,MIZ/AZL/2024/714,Mizoram,Aizawl,,,24.18566111,93.53935278,Debris,Slide,2 July 2024,1,2024-07-02,True,26.1,261.0,ok
23543,MIZ/AZL/2024/715,Mizoram,Aizawl,,,24.24449722,93.55275833,Debris,Slide,2 July 2024,1,2024-07-02,True,27.0,270.0,ok
23544,MIZ/AZL/2024/716,Mizoram,Aizawl,,,24.24755556,93.54809722,Debris,Slide,2 July 2024,1,2024-07-02,True,27.0,270.0,ok
23545,MIZ/AZL/2024/717,Mizoram,Aizawl,,,24.28840278,93.58591389,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23546,MIZ/AZL/2024/718,Mizoram,Aizawl,,,24.29982222,93.59040833,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23547,MIZ/AZL/2024/719,Mizoram,Aizawl,,,24.30768611,93.58120556,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23548,MIZ/AZL/2024/720,Mizoram,Aizawl,,,24.30711944,93.59375833,Earth,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23549,MIZ/AZL/2024/721,Mizoram,Aizawl,,,24.33915833,93.66233611,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23550,MIZ/AZL/2024/722,Mizoram,Aizawl,,,24.33331944,93.65702778,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23551,MIZ/AZL/2024/723,Mizoram,Aizawl,,,24.33300556,93.65357222,Debris,Slide,28 September 2024,1,2024-09-28,True,1.7,17.0,ok
23552,MIZ/AZL/2024/724,Mizoram,Aizawl,,,24.3309,93.66054444,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23553,MIZ/AZL/2024/725,Mizoram,Aizawl,,,24.32773611,93.57937222,Rock,Slide,2 July 2024,1,2024-07-02,True,26.4,264.0,ok
23554,MIZ/AZL/2024/726,Mizoram,Aizawl,,,24.39255556,93.65468611,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23556,MIZ/AZL/2024/728,Mizoram,Aizawl,,,24.49112222,93.62215556,Earth,Slide,13 August 2024,1,2024-08-13,True,0.1,1.0,ok
23558,MIZ/AZL/2024/730,Mizoram,Aizawl,,,24.48458889,93.58781944,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23559,MIZ/AZL/2024/731,Mizoram,Aizawl,,,24.492825,93.58643611,Earth,Slide,28 September 2024,1,2024-09-28,True,1.1,11.0,ok
23560,MIZ/AZL/2024/732,Mizoram,Aizawl,,,24.51785556,93.55086944,Debris,Slide,13 August 2024,1,2024-08-13,True,0.0,0.0,ok
23562,MIZ/AZL/2024/734,Mizoram,Aizawl,,,24.52308611,93.57206944,Debris,Slide,28 September 2024,1,2024-09-28,True,1.0,10.0,ok
23563,MIZ/AZL/2024/735,Mizoram,Aizawl,,,24.48338333,93.58848056,Debris,Complex,28 September 2024,1,2024-09-28,True,1.1,11.0,ok
23564,MIZ/KOL/2024/736,Mizoram,Kolasib,,,24.450125,93.35963889,Earth,Slide,8 August 2024,1,2024-08-08,True,15.2,152.0,ok
23565,MIZ/KOL/2024/737,Mizoram,Kolasib,,,24.48857222,93.36792222,Debris,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23566,MIZ/KOL/2024/738,Mizoram,Kolasib,,,24.54263333,93.39741944,Debris,Slide,18 August 2024,1,2024-08-18,True,56.3,563.0,ok
23567,MIZ/KOL/2024/739,Mizoram,Kolasib,,,24.60002222,93.37166389,Earth,Slide,21 October 2024,1,2024-10-21,True,0.0,0.0,ok
23568,MIZ/KOL/2024/740,Mizoram,Kolasib,,,24.60067222,93.37223056,Earth,Slide,21 October 2024,1,2024-10-21,True,0.0,0.0,ok
23569,MIZ/KOL/2024/741,Mizoram,Kolasib,,,24.60372222,93.37223056,Debris,Slide,2 July 2024,1,2024-07-02,True,28.5,285.0,ok
