event_date,latitude,longitude,state,district
2026-06-28,27.715081,94.692035,Arunachal Pradesh,Lower Siang
2018-06-14,22.873558,92.755953,Manipur,Ukhrul
2007-09-07,24.40639,94.06583,Manipur,Chandel
2010-06-10,24.792333,93.658222,Manipur,Tamenglong
2018-08-02,24.813306,93.243417,Manipur,Tengnoupal
2007-06-16,24.81722,93.51722,Manipur,Tamenglong
2007-09-10,24.81778,93.51583,Manipur,Tamenglong
2008-07-01,24.83278,93.46333,Manipur,Tamenglong
2007-09-12,24.84833,93.45917,Manipur,Tamenglong
2008-06-19,24.84833,93.45917,Manipur,Tamenglong
2010-06-05,24.862444,93.610639,Manipur,Tamenglong
2008-06-19,24.90139,93.45389,Manipur,Tamenglong
2018-06-06,24.9252,94.3371,Manipur,Noney
2018-06-12,24.983528,94.158333,Manipur,Ukhrul
2018-06-22,24.983806,93.497528,Manipur,Tamenglong
2018-05-03,24.985167,93.508306,Manipur,Tamenglong
2007-08-24,24.98611,93.50583,Manipur,Tamenglong
2007-08-28,24.99083,93.50583,Manipur,Tamenglong
2007-08-28,24.99083,93.50583,Manipur,Tamenglong
2007-08-28,24.99306,93.4975,Manipur,Tamenglong
2007-08-28,24.994278,94.205917,Manipur,Ukhrul
2007-08-28,24.99694,93.50222,Manipur,Tamenglong
2007-08-28,24.997972,94.020444,Manipur,Kangpokpi
2018-07-11,25.047833,92.789306,Manipur,Tamenglong
2007-09-09,25.47217,94.15433,Manipur,Senapati
2024-07-29,24.979,93.496,Manipur,Tamenglong
2011-05-31,24.985,93.52113889,Manipur,TAMENGLONG
2011-07-06,24.79083333,93.72333333,Manipur,TAMENGLONG
2011-06-26,25.67469444,91.88652778,Manipur,Ri-Bhoi
2010-06-08,24.86469444,93.62116667,Manipur,Tamenglong
2010-06-08,24.86297222,93.62397222,Manipur,Tamenglong
2010-03-28,24.73133333,93.92738889,Manipur,Tamenglong
2015-07-30,24.82022222,94.35255556,Manipur,Ukhrul
2025-05-31,24.846509,93.573533,Manipur,Noney
2025-06-05,24.863924,93.617853,Manipur,Noney
2018-05-07,25.09178,92.35469,Meghalaya,East Jaintia Hills
