slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
589,AS/UDA/83B01/2021/02,Assam,Udalguri,,,26.88969,92.12266,Rock-cum- debris,Falls,28 April 2021,1,2021-04-28,True,0.8,8.0,ok,261.0,46.77437541692691,22.017298212355
590,AS/UDA/83B01/2021/01,Assam,Udalguri,,,26.89074,92.12068,Rock-cum- debris,Falls,28 April 2021,1,2021-04-28,True,0.8,8.0,ok,228.0,42.32496267748874,340.21925146404305
614,AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth,Slide,05 July 2024,1,2024-07-05,True,20.9,209.0,ok,175.0,17.698138150743294,210.5236488258427
615,AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19044,91.77502,Earth,Slide,24 May 2024,1,2024-05-24,True,0.0,0.0,ok,109.0,10.486949094280645,330.8731266802389
623,ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,South Bagetar,25.16736,93.00953,Debris,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok,630.0,18.851772462572853,353.9930210648017
624,ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,"Kana Basti, Haflong",25.16023,93.01084,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,591.0,21.41394512450336,294.3496617492387
632,ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,South Bagetar,25.16579,93.00948,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,581.0,17.93729219281879,318.5265767349201
633,ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,"Kana Basti, Haflong",25.15859,93.01292,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,586.0,14.726699616701769,287.9140663727824
634,AS/KAMRUP(M)/78N16/2014- 15/0006,Assam,Kamrup (Metro),"Dakhingaon, slide.",Near Kahilipara-Ganesh mandir road.,26.13441667,91.74875,Debris,Flow,22 September 2014,1,2014-09-22,True,170.5,1705.0,ok,107.0,7.1488730223194645,25.518733585664705
636,AS/KAMRUP(M)/78N16/2014- 15/0007,Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,"About 500 m south of Game village, Lalmati, NH-37",26.10711111,91.78916667,Earth,Flow,23 September 2014,1,2014-09-23,True,3.7,37.0,ok,68.0,16.167813130045932,83.59554978614199
637,AS/KAMRUP/78N12/2015- 16/0004,Assam,Kamrup,Jorabat-Khanapara,"About 200 m North of NH-31, In front of IIT(G) approach",26.09961111,91.87811111,Earth,Slide the loose soil from top (already cut in the area) due to heavy rain.,25 September 2014,1,2014-09-25,True,5.2,52.0,ok,86.0,9.240795097969604,353.6460174080705
640,ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,"Mahadev Tilla, Haflong",25.15556,93.021583,Debris,Slide,14 May 2022,1,2022-05-14,True,66.9,669.0,ok,610.0,10.63509550805223,301.10837793024643
642,ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,"Lower Sonpijang, Haflong",25.158138,93.024778,Earth,Slide,15 May 2022,1,2022-05-15,True,73.9,739.0,ok,543.0,7.359783929182829,75.50036284415934
643,ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,"NH 54, near Nutan Lampur",25.24194444,93.14319444,Debris,Slide,22 May 2016,1,2016-05-22,True,0.5,5.0,ok,624.0,23.36612614341044,124.152432364692
